phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,1,70-100,0.1,0.75,8,0.10316436922450109,0.20823977866086998,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-120,0.1,0.75,8,0.08114075381023333,0.20823977702821878,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-140,0.1,0.75,9,0.038203086149731315,0.20823978027230447,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,80-120,0.1,0.75,4,0.08230246677152395,0.20823978055282724,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,80-140,0.1,0.75,9,0.04445399798572488,0.20823978187533856,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-100,0.01,1.0,9,0.16934769809055253,0.2082397806438097,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-120,0.01,1.0,7,0.07726089411096279,0.20823977886095887,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-140,0.01,1.0,9,0.01978651045555403,0.20823977655684497,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-100,0.01,1.0,6,0.19510797564696056,0.20823978304916027,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-120,0.01,1.0,7,0.08766900763703243,0.20823978170813937,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-140,0.01,1.0,4,0.0403433299149181,0.20823978017319641,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-100,0.05,1.0,2,0.19072507864151203,0.20823977959544246,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-120,0.05,1.0,5,0.06300553017215277,0.2082397754372664,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-140,0.05,1.0,8,0.03635581651703362,0.20823977648737357,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-100,0.05,1.0,4,0.20617100550988587,0.20823978418426028,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-120,0.05,1.0,7,0.06806120619306677,0.20823977831758658,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,80-140,0.05,1.0,8,0.04383304605156231,0.20823977834464832,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-100,0.1,1.0,9,0.13771487196170706,0.20823978210533592,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
Body-Abdomen,1,70-120,0.1,1.0,8,0.055862063967947476,0.2082397753744623,results/Saito/Saito-Body-1/saito_comparison_1_2025_08_08-15_30_30.json,9
